rule_name,description,benchmark,gpt_answer,gpt_configuration,tag
7.8 Method and function comments,"In methods and named functions, parameter and return types must be documented, except in the case of same-signature `@override` s, where all types are omitted. The `this` type should be documented when necessary. Return type may be omitted if the function has no non-empty `return` statements.
 Method, parameter, and return descriptions (but not types) may be omitted if they are obvious from the rest of the method’s JSDoc or from its signature.
 Method descriptions begin with a verb phrase that describes what the method does. This phrase is not an imperative sentence, but instead is written in the third person, as if there is an implied This method ... before it.
 If a method overrides a superclass method, it must include an `@override` annotation. Overridden methods inherit all JSDoc annotations from the super class method (including visibility annotations) and they should be omitted in the overridden method. However, if any type is refined in type annotations, all `@param` and `@return` annotations must be specified explicitly.
 /** A class that does something. */
 class SomeClass extends SomeBaseClass {
  /**
  * Operates on an instance of MyClass and returns something.
  * @param {!MyClass} obj An object that for some reason needs detailed
  * explanation that spans multiple lines.
  * @param {!OtherClass} obviousOtherClass
  * @return {boolean} Whether something occurred.
  */
  someMethod(obj, obviousOtherClass) { ... }
 
  /** @override */
  overriddenMethod(param) { ... }
 }
 
 /**
  * Demonstrates how top-level functions follow the same rules. This one
  * makes an array.
  * @param {TYPE} arg
  * @return {!Array<TYPE>}
  * @template TYPE
  */
 function makeArray(arg) { ... }
 
 If you only need to document the param and return types of a function, you may optionally use inline JSDocs in the function's signature. These inline JSDocs specify the return and param types without tags.
 function /** string */ foo(/** number */ arg) {...}
 
 If you need descriptions or tags, use a single JSDoc comment above the method. For example, methods which return values need a `@return` tag.
 class MyClass {
  /**
  * @param {number} arg
  * @return {string}
  */
  bar(arg) {...}
 }
 
 // Illegal inline JSDocs.
 
 class MyClass {
  /** @return {string} */ foo() {...}
 }
 
 /** Function description. */ bar() {...}
 
 In anonymous functions annotations are generally optional. If the automatic type inference is insufficient or explicit annotation improves readability, then annotate param and return types like this:
 promise.then(
  /** @return {string} */
  (/** !Array<string> */ items) => {
  doSomethingWith(items);
  return items[0];
  });
 
 For function type expressions, see ?? .","{'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': True, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}], 'valid-jsdoc': 'error'}",Yes,"{'valid-jsdoc': ['error', {'requireReturn': True, 'requireReturnType': True, 'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': True}], 'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': True, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]}",exist config in str
7.9 Property comments,"Property types must be documented. The description may be omitted for private properties, if name and type provide enough documentation for understanding the code.
 Publicly exported constants are commented the same way as properties.
 /** My class. */
 class MyClass {
  /** @param {string=} someString */
  constructor(someString = 'default string') {
  /** @private @const {string} */
  this.someString_ = someString;
 
  /** @private @const {!OtherType} */
  this.someOtherThing_ = functionThatReturnsAThing();
 
  /**
  * Maximum number of things per pane.
  * @type {number}
  */
  this.someProperty = 4;
  }
 }
 
 /**
  * The number of times we'll try before giving up.
  * @const {number}
  */
 MyClass.RETRY_COUNT = 33;",,Yes,"{'valid-jsdoc': [{'requireReturn': True, 'requireReturnType': True, 'requireParamDescription': True, 'requireReturnDescription': True, 'requireParamType': True}], 'require-jsdoc': [{'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': True}}]}",valid config part
7.10 Type annotations,"Type annotations are found on `@param` , `@return` , `@this` , and `@type` tags, and optionally on `@const` , `@export` , and any visibility tags. Type annotations attached to JSDoc tags must always be enclosed in braces.",{'valid-jsdoc': 'error'},Yes,"{'valid-jsdoc': ['error', {'requireReturn': True, 'requireReturnType': True, 'requireParamDescription': True, 'requireReturnDescription': True, 'requireParamType': True}], 'no-invalid-this': ['error', {'capIsConstructor': True}]}",valid config part
7.10.1 Nullability,"The type system defines modifiers `!` and `?` for non-null and nullable, respectively. These modifiers must precede the type.
 Nullability modifiers have different requirements for different types, which fall into two broad categories:
 Type annotations for primitives ( `string` , `number` , `boolean` , `symbol` , `undefined` , `null` ) and literals ( `{function(...):...}` and `{{foo:string...}}` ) are always non-nullable by default. Use the `?` modifier to make it nullable, but omit the redundant `!` . 
 Reference types (generally, anything in `UpperCamelCase` , including `some.namespace.ReferenceType` ) refer to a class, enum, record, or typedef defined elsewhere. Since these types may or may not be nullable, it is impossible to tell from the name alone whether it is nullable or not. Always use explicit `?` and `!` modifiers for these types to prevent ambiguity at use sites.
 Bad:
 const /** MyObject */ myObject = null; // Non-primitive types must be annotated.
 const /** !number */ someNum = 5; // Primitives are non-nullable by default.
 const /** number? */ someNullableNum = null; // ? should precede the type.
 const /** !{foo: string, bar: number} */ record = ...; // Already non-nullable.
 const /** MyTypeDef */ def = ...; // Not sure if MyTypeDef is nullable.
 
 // Not sure if object (nullable), enum (non-nullable, unless otherwise
 // specified), or typedef (depends on definition).
 const /** SomeCamelCaseName */ n = ...;
 
 Good:
 const /** ?MyObject */ myObject = null;
 const /** number */ someNum = 5;
 const /** ?number */ someNullableNum = null;
 const /** {foo: string, bar: number} */ record = ...;
 const /** !MyTypeDef */ def = ...;
 const /** ?SomeCamelCaseName */ n = ...;",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",y_or_n is not Yes
7.10.2 Type Casts,"In cases where the compiler doesn't accurately infer the type of an expression, and the assertion functions in goog.asserts cannot remedy it , it is possible to tighten the type by adding a type annotation comment and enclosing the expression in parentheses. Note that the parentheses are required.
 /** @type {number} */ (x)",,Yes,"{'no-extra-parens': ['all', {'nestedBinaryExpressions': False}]}",valid config part
7.10.3 Template Parameter Types,"Always specify template parameters. This way compiler can do a better job and it makes it easier for readers to understand what code does.
 Bad:
 const /** !Object */ users = {};
 const /** !Array */ books = [];
 const /** !Promise */ response = ...;
 
 Good:
 const /** !Object<string, !User> */ users = {};
 const /** !Array<string> */ books = [];
 const /** !Promise<!Response> */ response = ...;
 
 const /** !Promise<undefined> */ thisPromiseReturnsNothingButParameterIsStillUseful = ...;
 const /** !Object<string, *> */ mapOfEverything = {};
 
 Cases when template parameters should not be used:
 `Object` is used for type hierarchy and not as map-like structure.",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",y_or_n is not Yes
7.10.4 Function type expressions,"Terminology Note : function type expression refers to a type annotation for function types with the keyword `function` in the annotation (see examples below).
 Where the function definition is given, do not use a function type expression. Specify parameter and return types with `@param` and `@return` , or with inline annotations (see ?? ). This includes anonymous functions and functions defined and assigned to a const (where the function jsdoc appears above the whole assignment expression).
 Function type expressions are needed, for example, inside `@typedef` , `@param` or `@return` . Use it also for variables or properties of function type, if they are not immediately initialized with the function definition.
  /** @private {function(string): string} */
  this.idGenerator_ = googFunctions.identity;
 
 When using a function type expression, always specify the return type explicitly. Otherwise the default return type is unknown ( `?` ), which leads to strange and unexpected behavior, and is rarely what is actually desired.
 Bad - type error, but no warning given:
 /** @param {function()} generateNumber */
 function foo(generateNumber) {
  const /** number */ x = generateNumber(); // No compile-time type error here.
 }
 
 foo(() => 'clearly not a number');
 
 Good:
 /**
  * @param {function(): *} inputFunction1 Can return any type.
  * @param {function(): undefined} inputFunction2 Definitely doesn't return
  * anything.
  * NOTE: the return type of `foo` itself is safely implied to be {undefined}.
  */
 function foo(inputFunction1, inputFunction2) {...}",,Yes,"{'func-style': ['declaration', {'allowArrowFunctions': True}], 'require-jsdoc': {'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}, 'valid-jsdoc': {'requireReturn': True, 'requireReturnType': True, 'requireParamDescription': True, 'requireReturnDescription': True}}",valid config part
7.10.5 Whitespace,"Within a type annotation, a single space or line break is required after each comma or colon. Additional line breaks may be inserted to improve readability or avoid exceeding the column limit. These breaks should be chosen and indented following the applicable guidelines (e.g. ?? and ?? ). No other whitespace is allowed in type annotations.
 Good:
 /** @type {function(string): number} */
 
 /** @type {{foo: number, bar: number}} */
 
 /** @type {number|string} */
 
 /** @type {!Object<string, string>} */
 
 /** @type {function(this: Object<string, string>, number): string} */
 
 /**
  * @type {function(
  * !SuperDuperReallyReallyLongTypedefThatForcesTheLineBreak,
  * !OtherVeryLongTypedef): string}
  */
 
 /**
  * @type {!SuperDuperReallyReallyLongTypedefThatForcesTheLineBreak|
  * !OtherVeryLongTypedef}
  */
 
 Bad:
 // Only put a space after the colon
 /** @type {function(string) : number} */
 
 // Put spaces after colons and commas
 /** @type {{foo:number,bar:number}} */
 
 // No space in union types
 /** @type {number | string} */",,Yes,"{'comma-spacing': ['error', {'before': False, 'after': True}], 'key-spacing': ['error', {'beforeColon': False, 'afterColon': True}], 'no-multi-spaces': ['error'], 'no-trailing-spaces': ['error'], 'no-whitespace-before-property': ['error'], 'space-infix-ops': ['error'], 'space-before-function-paren': ['error', {'anonymous': 'always', 'named': 'never', 'asyncArrow': 'always'}]}",valid config part
7.11 Visibility annotations,"Visibility annotations ( `@private` , `@package` , `@protected` ) may be specified in a `@fileoverview` block, or on any exported symbol or property. Do not specify visibility for local variables, whether within a function or at the top level of a module. All `@private` names must end with an underscore.",,Yes,"{'no-underscore-dangle': ['error', {'allowAfterThis': False, 'allowAfterSuper': False, 'allowAfterThisConstructor': False, 'enforceInMethodNames': False, 'enforceInClassFields': False, 'allowInArrayDestructuring': True, 'allowInObjectDestructuring': True, 'allowFunctionParams': True, 'allow': ['_']}]}",exist config in str
8 Policies,8 Policies,,Yes,"{'indent': ['error', 4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': 1, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': False, 'ignoreComments': False}]}",valid config part
8.1 Issues unspecified by Google Style: Be Consistent!,"For any style question that isn't settled definitively by this specification, prefer to do what the other code in the same file is already doing. If that doesn't resolve the question, consider emulating the other files in the same package.",,Yes,"{'indent': ['error', 4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': 1, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': False, 'ignoreComments': False}], 'brace-style': ['error', '1tbs', {'allowSingleLine': False}], 'space-before-blocks': ['error', 'always'], 'prefer-rest-params': 'error', 'comma-style': ['error', 'last', {'exceptions': {'ArrayExpression': False, 'ArrayPattern': False, 'ArrowFunctionExpression': False, 'CallExpression': False, 'FunctionDeclaration': False, 'FunctionExpression': False, 'ImportDeclaration': False, 'ObjectExpression': False, 'ObjectPattern': False, 'VariableDeclaration': False, 'NewExpression': False}}], 'consistent-return': ['error', {'treatUndefinedAsUnspecified': False}], 'comma-spacing': ['error', {'before': False, 'after': True}], 'no-dupe-class-members': 'error', 'no-extra-semi': 'error', 'no-var': 'error', 'prefer-template': 'error', 'func-style': ['error', 'declaration', {'allowArrowFunctions': False}], 'no-undefined': 'error', 'arrow-body-style': ['error', 'as-needed', {'requireReturnForObjectLiteral': False}], 'unicode-bom': ['error', 'never'], 'no-useless-constructor': 'error', 'no-ternary': 'error', 'global-require': 'error', 'vars-on-top': 'error'}",exist config in str
8.2 Compiler warnings,8.2 Compiler warnings,,Yes,"{'require-yield': 'warn', 'no-warning-comments': ['warn', {'terms': ['todo', 'fixme', 'xxx'], 'location': 'start', 'decoration': []}], 'no-use-before-define': ['warn', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-nonoctal-decimal-escape': 'warn', 'vars-on-top': 'warn', 'no-implicit-globals': ['warn', {'lexicalBindings': False}], 'no-octal': 'warn', 'no-undef': ['warn', {'typeof': False}], 'block-scoped-var': 'warn', 'no-useless-constructor': 'warn', 'no-implicit-coercion': ['warn', {'boolean': True, 'number': True, 'string': True, 'disallowTemplateShorthand': False, 'allow': []}], 'no-template-curly-in-string': 'warn', 'no-alert': 'warn', 'prefer-template': 'warn', 'no-undefined': 'warn', 'no-this-before-super': 'warn', 'no-var': 'warn', 'no-floating-decimal': 'warn', 'no-new-native-nonconstructor': 'warn', 'object-shorthand': ['warn', {'avoidQuotes': False, 'ignoreConstructors': False, 'methodsIgnorePattern': '', 'avoidExplicitReturnArrows': False}]}",valid config part
8.2.1 Use a standard warning set,As far as possible projects should use `--warning_level=VERBOSE` .,,Yes,"{'no-console': 'error', 'no-warning-comments': ['error', {'terms': ['todo', 'fixme', 'xxx'], 'location': 'start', 'decoration': []}], 'no-alert': 'error', 'no-process-env': 'error', 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'require-yield': 'error', 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': ''}], 'vars-on-top': 'error', 'prefer-template': 'error', 'no-process-exit': 'error', 'block-scoped-var': 'error', 'prefer-rest-params': 'error', 'no-this-before-super': 'error', 'no-useless-constructor': 'error', 'no-template-curly-in-string': 'error', 'yoda': ['error', {'never': True, 'exceptRange': False, 'onlyEquality': False}], 'radix': ['error', 'always']}",valid config part
8.2.2 How to handle a warning,"Before doing anything, make sure you understand exactly what the warning is telling you. If you're not positive why a warning is appearing, ask for help .
 Once you understand the warning, attempt the following solutions in order:
 First, fix it or work around it. Make a strong attempt to actually address the warning, or find another way to accomplish the task that avoids the situation entirely. 
 Otherwise, determine if it's a false alarm. If you are convinced that the warning is invalid and that the code is actually safe and correct, add a comment to convince the reader of this fact and apply the `@suppress` annotation. 
 Otherwise, leave a TODO comment. This is a last resort . If you do this, do not suppress the warning. The warning should be visible until it can be taken care of properly.",,Yes,"{'no-warning-comments': [{'terms': ['todo', 'fixme', 'xxx'], 'location': 'start', 'decoration': []}]}",valid config part
8.2.3 Suppress a warning at the narrowest reasonable scope,"Warnings are suppressed at the narrowest reasonable scope, usually that of a single local variable or very small method. Often a variable or method is extracted for that reason alone.
 Example
 /** @suppress {uselessCode} Unrecognized 'use asm' declaration */
 function fn() {
  'use asm';
  return 0;
 }
 
 Even a large number of suppressions in a class is still better than blinding the entire class to this type of warning.",,Yes,"{'block-scoped-var': 'error', 'no-undefined': 'error', 'no-alert': 'error', 'vars-on-top': 'error', 'no-undef': 'error', 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-implicit-globals': ['error', {'lexicalBindings': False}], 'no-var': 'error', 'no-shadow-restricted-names': 'error', 'no-catch-shadow': 'error', 'no-useless-constructor': 'error', 'no-new-native-nonconstructor': 'error', 'no-lone-blocks': 'error', 'no-caller': 'error', 'no-redeclare': ['error', {'builtinGlobals': True}], 'no-dupe-class-members': 'error', 'no-void': ['error', {'allowAsStatement': False}], 'no-inner-declarations': ['error', 'functions'], 'no-shadow': ['error', {'builtinGlobals': False, 'hoist': 'functions', 'allow': [], 'ignoreOnInitialization': False}], 'no-confusing-arrow': ['error', {'allowParens': True, 'onlyOneSimpleParam': False}]}",valid config part
8.3 Deprecation,"Mark deprecated methods, classes or interfaces with `@deprecated` annotations. A deprecation comment must include simple, clear directions for people to fix their call sites.",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",y_or_n is not Yes
8.4 Code not in Google Style,"You will occasionally encounter files in your codebase that are not in proper Google Style. These may have come from an acquisition, or may have been written before Google Style took a position on some issue, or may be in non-Google Style for any other reason.",,Yes,"{'no-extra-semi': 'error', 'indent': ['error', 4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': 1, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': False, 'ignoreComments': False}], 'no-lone-blocks': 'error', 'no-var': 'error', 'brace-style': ['error', '1tbs', {'allowSingleLine': False}], 'no-negated-condition': 'error', 'no-empty-static-block': 'error', 'global-require': 'error', 'comma-spacing': ['error', {'before': False, 'after': True}], 'no-ternary': 'error', 'no-unreachable': 'error', 'no-whitespace-before-property': 'error', 'no-unused-private-class-members': 'error', 'vars-on-top': 'error', 'no-script-url': 'error', 'no-useless-constructor': 'error', 'lines-around-directive': ['error', 'always'], 'comma-style': ['error', 'last', {'exceptions': {'ArrayExpression': False, 'ArrayPattern': False, 'ArrowFunctionExpression': False, 'CallExpression': False, 'FunctionDeclaration': False, 'FunctionExpression': False, 'ImportDeclaration': False, 'ObjectExpression': False, 'ObjectPattern': False, 'VariableDeclaration': False, 'NewExpression': False}}], 'no-octal': 'error', 'space-before-blocks': ['error', 'always', {'functions': 'always', 'keywords': 'always', 'classes': 'always'}]}",valid config part
8.4.1 Reformatting existing code,"When updating the style of existing code, follow these guidelines.
 It is not required to change all existing code to meet current style guidelines. Reformatting existing code is a trade-off between code churn and consistency. Style rules evolve over time and these kinds of tweaks to maintain compliance would create unnecessary churn. However, if significant changes are being made to a file it is expected that the file will be in Google Style. 
 Be careful not to allow opportunistic style fixes to muddle the focus of a CL. If you find yourself making a lot of style changes that aren’t critical to the central focus of a CL, promote those changes to a separate CL.",,Yes,"{'indent': ['error', 4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': {'body': 1}, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': True, 'ignoreComments': False}], 'brace-style': ['error', '1tbs', {'allowSingleLine': True}], 'comma-style': ['error', 'last', {'exceptions': {'ArrayExpression': False, 'ArrayPattern': False, 'ArrowFunctionExpression': False, 'CallExpression': False, 'FunctionDeclaration': False, 'FunctionExpression': False, 'ImportDeclaration': False, 'ObjectExpression': False, 'ObjectPattern': False, 'VariableDeclaration': False, 'NewExpression': False}}], 'no-lone-blocks': 'error', 'comma-spacing': ['error', {'before': False, 'after': True}], 'prefer-template': 'error', 'no-var': 'error', 'no-extra-semi': 'error', 'no-useless-constructor': 'error', 'global-require': 'error', 'object-curly-newline': ['error', {'ObjectExpression': {'multiline': True, 'consistent': True}, 'ObjectPattern': {'multiline': True, 'consistent': True}, 'ImportDeclaration': {'multiline': True, 'consistent': True}, 'ExportDeclaration': {'multiline': True, 'consistent': True}}], 'space-before-blocks': ['error', 'always'], 'no-dupe-class-members': 'error', 'vars-on-top': 'error', 'no-multiple-empty-lines': ['error', {'max': 2, 'maxEOF': 1, 'maxBOF': 0}], 'no-empty-static-block': 'error', 'no-class-assign': 'error', 'key-spacing': ['error', {'beforeColon': False, 'afterColon': True, 'mode': 'strict', 'align': {'beforeColon': False, 'afterColon': True, 'on': 'colon', 'mode': 'strict'}, 'singleLine': {'beforeColon': False, 'afterColon': True}, 'multiLine': {'beforeColon': False, 'afterColon': True, 'align': 'colon'}}]}",valid config part
8.4.2 Newly added code: use Google Style,"Brand new files use Google Style, regardless of the style choices of other files in the same package.
 When adding new code to a file that is not in Google Style, reformatting the existing code first is recommended, subject to the advice in ?? .
 If this reformatting is not done, then new code should be as consistent as possible with existing code in the same file, but must not violate the style guide.",,Yes,"{'indent': ['error', 2, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': 1, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': True, 'ignoreComments': False}], 'brace-style': ['error', '1tbs', {'allowSingleLine': True}], 'prefer-template': 'error', 'no-new': 'error', 'space-before-blocks': ['error', 'always'], 'object-curly-newline': ['error', {'ObjectExpression': {'multiline': True, 'minProperties': 4, 'consistent': True}, 'ObjectPattern': {'multiline': True, 'minProperties': 4, 'consistent': True}, 'ImportDeclaration': {'multiline': True, 'minProperties': 4, 'consistent': True}, 'ExportDeclaration': {'multiline': True, 'minProperties': 4, 'consistent': True}}], 'comma-style': ['error', 'last', {'exceptions': {'ArrayExpression': False, 'ArrayPattern': False, 'ArrowFunctionExpression': False, 'CallExpression': False, 'FunctionDeclaration': False, 'FunctionExpression': False, 'ImportDeclaration': False, 'ObjectExpression': False, 'ObjectPattern': False, 'VariableDeclaration': False, 'NewExpression': False}}], 'no-useless-constructor': 'error', 'no-dupe-class-members': 'error', 'no-extra-semi': 'error', 'global-require': 'error', 'func-style': ['error', 'declaration', {'allowArrowFunctions': True}], 'comma-spacing': ['error', {'before': False, 'after': True}], 'no-lone-blocks': 'error', 'no-var': 'error', 'new-cap': ['error', {'newIsCap': True, 'capIsNew': True, 'newIsCapExceptions': [], 'newIsCapExceptionPattern': '', 'capIsNewExceptions': [], 'capIsNewExceptionPattern': '', 'properties': True}], 'no-negated-condition': 'error', 'vars-on-top': 'error'}",valid config part
8.5 Local style rules,"Teams and projects may adopt additional style rules beyond those in this document, but must accept that cleanup changes may not abide by these additional rules, and must not block such cleanup changes due to violating any additional rules. Beware of excessive rules which serve no purpose. The style guide does not seek to define style in every possible scenario and neither should you.",,Yes,"{'indent': ['error', 4, {'SwitchCase': 0, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': {'body': 1}, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': False, 'ignoreComments': False}]}",valid config part
8.6 Generated code: mostly exempt,"Source code generated by the build process is not required to be in Google Style. However, any generated identifiers that will be referenced from hand-written source code must follow the naming requirements. As a special exception, such identifiers are allowed to contain underscores, which may help to avoid conflicts with hand-written identifiers.",,Yes,"{'camelcase': [{'properties': 'always'}, {'ignoreDestructuring': False}, {'ignoreImports': False}, {'ignoreGlobals': False}, {'allow': ['^[a-z]+(_[a-z]+)+$']}], 'no-underscore-dangle': [{'allow': []}, {'allowAfterThis': False}, {'allowAfterSuper': False}, {'allowAfterThisConstructor': False}, {'enforceInMethodNames': False}, {'enforceInClassFields': False}, {'allowInArrayDestructuring': True}, {'allowInObjectDestructuring': True}, {'allowFunctionParams': True}]}",exist config in str
9 Appendices,9 Appendices,,Yes,"{'no-nonoctal-decimal-escape': 'error', 'indent': ['error', 4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': {'body': 1}, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': False, 'ignoreComments': False}], 'comma-spacing': ['error', {'before': False, 'after': True}], 'prefer-template': 'error', 'no-octal': 'error', 'prefer-rest-params': 'error', 'no-global-assign': ['error', {'exceptions': []}], 'arrow-parens': ['error', 'always'], 'vars-on-top': 'error', 'no-ex-assign': 'error', 'no-var': 'error', 'no-script-url': 'error', 'no-process-env': 'error', 'no-this-before-super': 'error', 'no-extra-semi': 'error', 'callback-return': ['error', {'defaultCallbackNames': ['callback', 'cb', 'next'], 'suppliedCallbackNames': []}], 'lines-around-comment': ['error', {'beforeBlockComment': True, 'afterBlockComment': False, 'beforeLineComment': False, 'afterLineComment': False, 'allowBlockStart': False, 'allowBlockEnd': False, 'allowObjectStart': False, 'allowObjectEnd': False, 'allowArrayStart': False, 'allowArrayEnd': False, 'allowClassStart': False, 'allowClassEnd': False, 'ignorePattern': '', 'applyDefaultIgnorePatterns': False, 'afterHashbangComment': False}]}",valid config part
9.1 JSDoc tag reference,JSDoc serves multiple purposes in JavaScript. In addition to being used to generate documentation it is also used to control tooling. The best known are the Closure Compiler type annotations.,,Yes,"{'valid-jsdoc': ['error', {'prefer': {}, 'preferType': {}, 'requireReturn': True, 'requireReturnType': False, 'matchDescription': '', 'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': False}], 'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]}",valid config part
9.1.1 Type annotations and other Closure Compiler annotations,"Documentation for JSDoc used by the Closure Compiler is described in Annotating JavaScript for the Closure Compiler and Types in the Closure Type
 System .",,Yes,"{'valid-jsdoc': [{'prefer': {}, 'preferType': {}, 'requireReturn': True, 'requireReturnType': False, 'matchDescription': None, 'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': False}], 'require-jsdoc': [{'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]}",valid config part
