rule_name,description,benchmark,benchmark_default,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
7.9 Property comments,"Property types must be documented. The description may be omitted for private properties, if name and type provide enough documentation for understanding the code.
 Publicly exported constants are commented the same way as properties.
 /** My class. */
 class MyClass {
  /** @param {string=} someString */
  constructor(someString = 'default string') {
  /** @private @const {string} */
  this.someString_ = someString;
 
  /** @private @const {!OtherType} */
  this.someOtherThing_ = functionThatReturnsAThing();
 
  /**
  * Maximum number of things per pane.
  * @type {number}
  */
  this.someProperty = 4;
  }
 }
 
 /**
  * The number of times we'll try before giving up.
  * @const {number}
  */
 MyClass.RETRY_COUNT = 33;",,,Yes,"valid-jsdoc: ['error', {'requireReturn': False, 'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': True, 'requireReturnType': True, 'requireParamName': True}]
require-jsdoc: ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': True, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]",true,,"valid-jsdoc
require-jsdoc",,,"valid-jsdoc
require-jsdoc",,,"valid-jsdoc
require-jsdoc",
7.10 Type annotations,"Type annotations are found on `@param` , `@return` , `@this` , and `@type` tags, and optionally on `@const` , `@export` , and any visibility tags. Type annotations attached to JSDoc tags must always be enclosed in braces.",valid-jsdoc: error,"valid-jsdoc: ['error', {'prefer': 'OurSetDefault', 'preferType': 'OurSetDefault', 'requireReturn': 'OurSetDefault', 'requireReturnType': 'OurSetDefault', 'matchDescription': 'OurSetDefault', 'requireParamDescription': 'OurSetDefault', 'requireReturnDescription': 'OurSetDefault', 'requireParamType': 'OurSetDefault'}]",Yes,"valid-jsdoc: ['error', {'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': True, 'requireReturnType': True, 'requireReturn': False, 'requireType': True, 'matchDescription': '.+', 'prefer': {'returns': 'return'}}]",true,valid-jsdoc,,,,valid-jsdoc,valid-jsdoc,,valid-jsdoc,valid-jsdoc
7.10.1 Nullability,"The type system defines modifiers `!` and `?` for non-null and nullable, respectively. These modifiers must precede the type.
 Nullability modifiers have different requirements for different types, which fall into two broad categories:
 Type annotations for primitives ( `string` , `number` , `boolean` , `symbol` , `undefined` , `null` ) and literals ( `{function(...):...}` and `{{foo:string...}}` ) are always non-nullable by default. Use the `?` modifier to make it nullable, but omit the redundant `!` . 
 Reference types (generally, anything in `UpperCamelCase` , including `some.namespace.ReferenceType` ) refer to a class, enum, record, or typedef defined elsewhere. Since these types may or may not be nullable, it is impossible to tell from the name alone whether it is nullable or not. Always use explicit `?` and `!` modifiers for these types to prevent ambiguity at use sites.
 Bad:
 const /** MyObject */ myObject = null; // Non-primitive types must be annotated.
 const /** !number */ someNum = 5; // Primitives are non-nullable by default.
 const /** number? */ someNullableNum = null; // ? should precede the type.
 const /** !{foo: string, bar: number} */ record = ...; // Already non-nullable.
 const /** MyTypeDef */ def = ...; // Not sure if MyTypeDef is nullable.
 
 // Not sure if object (nullable), enum (non-nullable, unless otherwise
 // specified), or typedef (depends on definition).
 const /** SomeCamelCaseName */ n = ...;
 
 Good:
 const /** ?MyObject */ myObject = null;
 const /** number */ someNum = 5;
 const /** ?number */ someNullableNum = null;
 const /** {foo: string, bar: number} */ record = ...;
 const /** !MyTypeDef */ def = ...;
 const /** ?SomeCamelCaseName */ n = ...;",,,No,"{
    ""Answer"": No,
    ""Configuration"": {}
}",,,,,,,,,,
7.10.2 Type Casts,"In cases where the compiler doesn't accurately infer the type of an expression, and the assertion functions in goog.asserts cannot remedy it , it is possible to tighten the type by adding a type annotation comment and enclosing the expression in parentheses. Note that the parentheses are required.
 /** @type {number} */ (x)",,,Yes,"no-extra-parens: ['error', 'all', {'nestedBinaryExpressions': False}]
valid-jsdoc: ['error', {'requireReturn': False, 'requireParamDescription': False, 'requireReturnDescription': False, 'prefer': {'return': 'returns'}}]",true,,"no-extra-parens
valid-jsdoc",,,"no-extra-parens
valid-jsdoc",,,"no-extra-parens
valid-jsdoc",
7.10.3 Template Parameter Types,"Always specify template parameters. This way compiler can do a better job and it makes it easier for readers to understand what code does.
 Bad:
 const /** !Object */ users = {};
 const /** !Array */ books = [];
 const /** !Promise */ response = ...;
 
 Good:
 const /** !Object<string, !User> */ users = {};
 const /** !Array<string> */ books = [];
 const /** !Promise<!Response> */ response = ...;
 
 const /** !Promise<undefined> */ thisPromiseReturnsNothingButParameterIsStillUseful = ...;
 const /** !Object<string, *> */ mapOfEverything = {};
 
 Cases when template parameters should not be used:
 `Object` is used for type hierarchy and not as map-like structure.",,,No,"{
    ""Answer"": No,
    ""Configuration"": {}
}",,,,,,,,,,
7.10.4 Function type expressions,"Terminology Note : function type expression refers to a type annotation for function types with the keyword `function` in the annotation (see examples below).
 Where the function definition is given, do not use a function type expression. Specify parameter and return types with `@param` and `@return` , or with inline annotations (see ?? ). This includes anonymous functions and functions defined and assigned to a const (where the function jsdoc appears above the whole assignment expression).
 Function type expressions are needed, for example, inside `@typedef` , `@param` or `@return` . Use it also for variables or properties of function type, if they are not immediately initialized with the function definition.
  /** @private {function(string): string} */
  this.idGenerator_ = googFunctions.identity;
 
 When using a function type expression, always specify the return type explicitly. Otherwise the default return type is unknown ( `?` ), which leads to strange and unexpected behavior, and is rarely what is actually desired.
 Bad - type error, but no warning given:
 /** @param {function()} generateNumber */
 function foo(generateNumber) {
  const /** number */ x = generateNumber(); // No compile-time type error here.
 }
 
 foo(() => 'clearly not a number');
 
 Good:
 /**
  * @param {function(): *} inputFunction1 Can return any type.
  * @param {function(): undefined} inputFunction2 Definitely doesn't return
  * anything.
  * NOTE: the return type of `foo` itself is safely implied to be {undefined}.
  */
 function foo(inputFunction1, inputFunction2) {...}",,,Yes,"valid-jsdoc: ['error', {'requireReturn': True, 'requireReturnType': True, 'requireParamDescription': False, 'requireReturnDescription': False, 'prefer': {'return': 'returns'}}]
require-jsdoc: ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]",true,,"valid-jsdoc
require-jsdoc",,,"valid-jsdoc
require-jsdoc",,,"valid-jsdoc
require-jsdoc",
7.10.5 Whitespace,"Within a type annotation, a single space or line break is required after each comma or colon. Additional line breaks may be inserted to improve readability or avoid exceeding the column limit. These breaks should be chosen and indented following the applicable guidelines (e.g. ?? and ?? ). No other whitespace is allowed in type annotations.
 Good:
 /** @type {function(string): number} */
 
 /** @type {{foo: number, bar: number}} */
 
 /** @type {number|string} */
 
 /** @type {!Object<string, string>} */
 
 /** @type {function(this: Object<string, string>, number): string} */
 
 /**
  * @type {function(
  * !SuperDuperReallyReallyLongTypedefThatForcesTheLineBreak,
  * !OtherVeryLongTypedef): string}
  */
 
 /**
  * @type {!SuperDuperReallyReallyLongTypedefThatForcesTheLineBreak|
  * !OtherVeryLongTypedef}
  */
 
 Bad:
 // Only put a space after the colon
 /** @type {function(string) : number} */
 
 // Put spaces after colons and commas
 /** @type {{foo:number,bar:number}} */
 
 // No space in union types
 /** @type {number | string} */",,,Yes,"comma-spacing: ['error', {'before': False, 'after': True}]
key-spacing: ['error', {'beforeColon': False, 'afterColon': True}]
space-infix-ops: error
object-curly-spacing: ['error', 'never']
array-bracket-spacing: ['error', 'never']
computed-property-spacing: ['error', 'never']
block-spacing: ['error', 'never']
func-call-spacing: ['error', 'never']
no-multi-spaces: error
no-trailing-spaces: error
no-whitespace-before-property: error
space-before-blocks: ['error', 'always']
space-before-function-paren: ['error', 'never']
space-in-parens: ['error', 'never']
space-unary-ops: ['error', {'words': True, 'nonwords': False}]
template-curly-spacing: ['error', 'never']
template-tag-spacing: ['error', 'never']
switch-colon-spacing: ['error', {'after': True, 'before': False}]",true,,"comma-spacing
key-spacing
space-infix-ops
object-curly-spacing
array-bracket-spacing
computed-property-spacing
block-spacing
func-call-spacing
no-multi-spaces
no-trailing-spaces
no-whitespace-before-property
space-before-blocks
space-before-function-paren
space-in-parens
space-unary-ops
template-curly-spacing
template-tag-spacing
switch-colon-spacing",,,"comma-spacing
key-spacing
space-infix-ops
object-curly-spacing
array-bracket-spacing
computed-property-spacing
block-spacing
func-call-spacing
no-multi-spaces
no-trailing-spaces
no-whitespace-before-property
space-before-blocks
space-before-function-paren
space-in-parens
space-unary-ops
template-curly-spacing
template-tag-spacing
switch-colon-spacing",,,"comma-spacing
key-spacing
space-infix-ops
object-curly-spacing
array-bracket-spacing
computed-property-spacing
block-spacing
func-call-spacing
no-multi-spaces
no-trailing-spaces
no-whitespace-before-property
space-before-blocks
space-before-function-paren
space-in-parens
space-unary-ops
template-curly-spacing
template-tag-spacing
switch-colon-spacing",
7.11 Visibility annotations,"Visibility annotations ( `@private` , `@package` , `@protected` ) may be specified in a `@fileoverview` block, or on any exported symbol or property. Do not specify visibility for local variables, whether within a function or at the top level of a module. All `@private` names must end with an underscore.",,,Yes,"valid-jsdoc: ['error', {'requireReturn': False, 'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': True, 'requireReturnType': True, 'matchDescription': '.+', 'prefer': {'returns': 'return'}, 'requirePrivate': True}]
no-underscore-dangle: ['error', {'allowAfterThis': True, 'allowAfterSuper': True, 'enforceInMethodNames': True, 'allow': ['_private']}]",true,,"valid-jsdoc
no-underscore-dangle",,,"valid-jsdoc
no-underscore-dangle",,,"valid-jsdoc
no-underscore-dangle",
8.2.1 Use a standard warning set,As far as possible projects should use `--warning_level=VERBOSE` .,,,Yes,"array-bracket-newline: ['error', 'consistent']
array-bracket-spacing: ['error', 'never']
array-element-newline: ['error', 'consistent']
arrow-parens: ['error', 'always']
arrow-spacing: ['error', {'before': True, 'after': True}]
block-spacing: ['error', 'always']
brace-style: ['error', '1tbs', {'allowSingleLine': True}]
callback-return: error
comma-dangle: ['error', 'never']
comma-spacing: ['error', {'before': False, 'after': True}]
comma-style: ['error', 'last']
computed-property-spacing: ['error', 'never']
dot-location: ['error', 'property']
eol-last: ['error', 'always']
func-call-spacing: ['error', 'never']
function-call-argument-newline: ['error', 'consistent']
function-paren-newline: ['error', 'consistent']
generator-star-spacing: ['error', {'before': True, 'after': True}]
global-require: error
handle-callback-err: ['error', '^(err|error)$']
id-blacklist: ['error', 'data', 'err', 'e', 'cb', 'callback']
implicit-arrow-linebreak: ['error', 'beside']
indent: ['error', 2, {'SwitchCase': 1}]
jsx-quotes: ['error', 'prefer-double']
key-spacing: ['error', {'beforeColon': False, 'afterColon': True}]
keyword-spacing: ['error', {'before': True, 'after': True}]
linebreak-style: ['error', 'unix']
lines-around-comment: ['error', {'beforeBlockComment': True}]
lines-around-directive: ['error', {'before': 'always', 'after': 'always'}]
lines-between-class-members: ['error', 'always', {'exceptAfterSingleLine': True}]
max-len: ['error', {'code': 80, 'tabWidth': 4, 'ignoreUrls': True}]
max-statements-per-line: ['error', {'max': 1}]
multiline-ternary: ['error', 'always-multiline']
new-parens: ['error', 'always']
newline-after-var: ['error', 'always']
newline-before-return: error
newline-per-chained-call: ['error', {'ignoreChainWithDepth': 4}]
no-buffer-constructor: error
no-catch-shadow: error
no-confusing-arrow: ['error', {'allowParens': True}]
no-extra-parens: ['error', 'all', {'nestedBinaryExpressions': False}]
no-extra-semi: error
no-floating-decimal: error
no-mixed-operators: ['error', {'groups': [['+', '-', '*', '/', '%', '**'], ['&', '|', '^', '~', '<<', '>>', '>>>'], ['==', '!=', '===', '!==', '>', '>=', '<', '<='], ['&&', '||'], ['in', 'instanceof']]}]
no-mixed-requires: ['error', {'grouping': True, 'allowCall': True}]
no-mixed-spaces-and-tabs: error
no-multi-spaces: ['error', {'ignoreEOLComments': True}]
no-multiple-empty-lines: ['error', {'max': 1, 'maxEOF': 0}]
no-native-reassign: error
no-negated-in-lhs: error
no-new-object: error
no-new-require: error
no-path-concat: error
no-process-env: error
no-process-exit: error
no-restricted-modules: ['error', 'fs', 'path']
no-return-await: error
no-spaced-func: error
no-sync: error
no-tabs: error
no-trailing-spaces: error
no-whitespace-before-property: error
nonblock-statement-body-position: ['error', 'beside']
object-curly-newline: ['error', {'consistent': True}]
object-curly-spacing: ['error', 'always']
object-property-newline: ['error', {'allowAllPropertiesOnSameLine': True}]
one-var-declaration-per-line: ['error', 'always']
operator-linebreak: ['error', 'before']
padded-blocks: ['error', 'never']
padding-line-between-statements: ['error', {'blankLine': 'always', 'prev': '*', 'next': 'return'}]
prefer-reflect: error
quote-props: ['error', 'as-needed']
quotes: ['error', 'single', {'avoidEscape': True, 'allowTemplateLiterals': True}]
require-jsdoc: ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': True, 'ArrowFunctionExpression': True, 'FunctionExpression': True}}]
rest-spread-spacing: ['error', 'never']
semi-spacing: ['error', {'before': False, 'after': True}]
semi-style: ['error', 'last']
semi: ['error', 'always']
space-before-blocks: ['error', 'always']
space-before-function-paren: ['error', 'never']
space-in-parens: ['error', 'never']
space-infix-ops: error
space-unary-ops: ['error', {'words': True, 'nonwords': False}]
spaced-comment: ['error', 'always', {'exceptions': ['-', '+']}]
switch-colon-spacing: ['error', {'after': True, 'before': False}]
template-curly-spacing: ['error', 'never']
template-tag-spacing: ['error', 'never']
valid-jsdoc: ['error', {'requireReturn': False, 'requireParamDescription': False, 'requireReturnDescription': False}]
wrap-iife: ['error', 'inside']
wrap-regex: error
yield-star-spacing: ['error', 'both']",true,,"array-bracket-newline
array-bracket-spacing
array-element-newline
arrow-parens
arrow-spacing
block-spacing
brace-style
callback-return
comma-dangle
comma-spacing
comma-style
computed-property-spacing
dot-location
eol-last
func-call-spacing
function-call-argument-newline
function-paren-newline
generator-star-spacing
global-require
handle-callback-err
id-blacklist
implicit-arrow-linebreak
indent
jsx-quotes
key-spacing
keyword-spacing
linebreak-style
lines-around-comment
lines-around-directive
lines-between-class-members
max-len
max-statements-per-line
multiline-ternary
new-parens
newline-after-var
newline-before-return
newline-per-chained-call
no-buffer-constructor
no-catch-shadow
no-confusing-arrow
no-extra-parens
no-extra-semi
no-floating-decimal
no-mixed-operators
no-mixed-requires
no-mixed-spaces-and-tabs
no-multi-spaces
no-multiple-empty-lines
no-native-reassign
no-negated-in-lhs
no-new-object
no-new-require
no-path-concat
no-process-env
no-process-exit
no-restricted-modules
no-return-await
no-spaced-func
no-sync
no-tabs
no-trailing-spaces
no-whitespace-before-property
nonblock-statement-body-position
object-curly-newline
object-curly-spacing
object-property-newline
one-var-declaration-per-line
operator-linebreak
padded-blocks
padding-line-between-statements
prefer-reflect
quote-props
quotes
require-jsdoc
rest-spread-spacing
semi-spacing
semi-style
semi
space-before-blocks
space-before-function-paren
space-in-parens
space-infix-ops
space-unary-ops
spaced-comment
switch-colon-spacing
template-curly-spacing
template-tag-spacing
valid-jsdoc
wrap-iife
wrap-regex
yield-star-spacing",,,"array-bracket-newline
array-bracket-spacing
array-element-newline
arrow-parens
arrow-spacing
block-spacing
brace-style
callback-return
comma-dangle
comma-spacing
comma-style
computed-property-spacing
dot-location
eol-last
func-call-spacing
function-call-argument-newline
function-paren-newline
generator-star-spacing
global-require
handle-callback-err
id-blacklist
implicit-arrow-linebreak
indent
jsx-quotes
key-spacing
keyword-spacing
linebreak-style
lines-around-comment
lines-around-directive
lines-between-class-members
max-len
max-statements-per-line
multiline-ternary
new-parens
newline-after-var
newline-before-return
newline-per-chained-call
no-buffer-constructor
no-catch-shadow
no-confusing-arrow
no-extra-parens
no-extra-semi
no-floating-decimal
no-mixed-operators
no-mixed-requires
no-mixed-spaces-and-tabs
no-multi-spaces
no-multiple-empty-lines
no-native-reassign
no-negated-in-lhs
no-new-object
no-new-require
no-path-concat
no-process-env
no-process-exit
no-restricted-modules
no-return-await
no-spaced-func
no-sync
no-tabs
no-trailing-spaces
no-whitespace-before-property
nonblock-statement-body-position
object-curly-newline
object-curly-spacing
object-property-newline
one-var-declaration-per-line
operator-linebreak
padded-blocks
padding-line-between-statements
prefer-reflect
quote-props
quotes
require-jsdoc
rest-spread-spacing
semi-spacing
semi-style
semi
space-before-blocks
space-before-function-paren
space-in-parens
space-infix-ops
space-unary-ops
spaced-comment
switch-colon-spacing
template-curly-spacing
template-tag-spacing
valid-jsdoc
wrap-iife
wrap-regex
yield-star-spacing",,,"array-bracket-newline
array-bracket-spacing
array-element-newline
arrow-parens
arrow-spacing
block-spacing
brace-style
callback-return
comma-dangle
comma-spacing
comma-style
computed-property-spacing
dot-location
eol-last
func-call-spacing
function-call-argument-newline
function-paren-newline
generator-star-spacing
global-require
handle-callback-err
id-blacklist
implicit-arrow-linebreak
indent
jsx-quotes
key-spacing
keyword-spacing
linebreak-style
lines-around-comment
lines-around-directive
lines-between-class-members
max-len
max-statements-per-line
multiline-ternary
new-parens
newline-after-var
newline-before-return
newline-per-chained-call
no-buffer-constructor
no-catch-shadow
no-confusing-arrow
no-extra-parens
no-extra-semi
no-floating-decimal
no-mixed-operators
no-mixed-requires
no-mixed-spaces-and-tabs
no-multi-spaces
no-multiple-empty-lines
no-native-reassign
no-negated-in-lhs
no-new-object
no-new-require
no-path-concat
no-process-env
no-process-exit
no-restricted-modules
no-return-await
no-spaced-func
no-sync
no-tabs
no-trailing-spaces
no-whitespace-before-property
nonblock-statement-body-position
object-curly-newline
object-curly-spacing
object-property-newline
one-var-declaration-per-line
operator-linebreak
padded-blocks
padding-line-between-statements
prefer-reflect
quote-props
quotes
require-jsdoc
rest-spread-spacing
semi-spacing
semi-style
semi
space-before-blocks
space-before-function-paren
space-in-parens
space-infix-ops
space-unary-ops
spaced-comment
switch-colon-spacing
template-curly-spacing
template-tag-spacing
valid-jsdoc
wrap-iife
wrap-regex
yield-star-spacing",
8.2.3 Suppress a warning at the narrowest reasonable scope,"Warnings are suppressed at the narrowest reasonable scope, usually that of a single local variable or very small method. Often a variable or method is extracted for that reason alone.
 Example
 /** @suppress {uselessCode} Unrecognized 'use asm' declaration */
 function fn() {
  'use asm';
  return 0;
 }
 
 Even a large number of suppressions in a class is still better than blinding the entire class to this type of warning.",,,No,"{
    ""Answer"": No,
    ""Configuration"": {}
}",,,,,,,,,,
8.3 Deprecation,"Mark deprecated methods, classes or interfaces with `@deprecated` annotations. A deprecation comment must include simple, clear directions for people to fix their call sites.",,,Yes,"valid-jsdoc: ['error', {'requireReturn': False, 'requireParamDescription': False, 'requireReturnDescription': False, 'requireDeprecated': True, 'prefer': {'returns': 'return'}}]",true,,valid-jsdoc,,,valid-jsdoc,,,valid-jsdoc,
8.4.2 Newly added code: use Google Style,"Brand new files use Google Style, regardless of the style choices of other files in the same package.
 When adding new code to a file that is not in Google Style, reformatting the existing code first is recommended, subject to the advice in ?? .
 If this reformatting is not done, then new code should be as consistent as possible with existing code in the same file, but must not violate the style guide.",,,Yes,"array-bracket-newline: ['error', 'consistent']
array-bracket-spacing: ['error', 'never']
array-element-newline: ['error', 'consistent']
arrow-parens: ['error', 'always']
arrow-spacing: ['error', {'before': True, 'after': True}]
block-spacing: ['error', 'always']
brace-style: ['error', '1tbs', {'allowSingleLine': True}]
comma-dangle: ['error', 'never']
comma-spacing: ['error', {'before': False, 'after': True}]
comma-style: ['error', 'last']
computed-property-spacing: ['error', 'never']
dot-location: ['error', 'property']
eol-last: ['error', 'always']
func-call-spacing: ['error', 'never']
function-call-argument-newline: ['error', 'consistent']
function-paren-newline: ['error', 'consistent']
generator-star-spacing: ['error', {'before': True, 'after': True}]
implicit-arrow-linebreak: ['error', 'beside']
indent: ['error', 2]
jsx-quotes: ['error', 'prefer-double']
key-spacing: ['error', {'beforeColon': False, 'afterColon': True}]
keyword-spacing: ['error', {'before': True, 'after': True}]
linebreak-style: ['error', 'unix']
lines-around-comment: ['error', {'beforeBlockComment': True}]
lines-between-class-members: ['error', 'always']
max-len: ['error', {'code': 100}]
max-statements-per-line: ['error', {'max': 1}]
multiline-ternary: ['error', 'always-multiline']
new-parens: ['error', 'always']
newline-per-chained-call: ['error', {'ignoreChainWithDepth': 2}]
no-mixed-spaces-and-tabs: ['error', 'smart-tabs']
no-multiple-empty-lines: ['error', {'max': 1, 'maxEOF': 0}]
no-trailing-spaces: ['error', {'skipBlankLines': False, 'ignoreComments': False}]
no-whitespace-before-property: ['error']
nonblock-statement-body-position: ['error', 'beside']
object-curly-newline: ['error', {'consistent': True}]
object-curly-spacing: ['error', 'always']
object-property-newline: ['error', {'allowAllPropertiesOnSameLine': True}]
one-var-declaration-per-line: ['error', 'always']
operator-linebreak: ['error', 'before']
padded-blocks: ['error', 'never']
padding-line-between-statements: ['error', {'blankLine': 'always', 'prev': '*', 'next': 'return'}]
quote-props: ['error', 'as-needed']
quotes: ['error', 'double']
semi-spacing: ['error', {'before': False, 'after': True}]
semi-style: ['error', 'last']
semi: ['error', 'always']
space-before-blocks: ['error', 'always']
space-before-function-paren: ['error', {'anonymous': 'always', 'named': 'never', 'asyncArrow': 'always'}]
space-in-parens: ['error', 'never']
space-infix-ops: ['error', {'int32Hint': False}]
space-unary-ops: ['error', {'words': True, 'nonwords': False}]
spaced-comment: ['error', 'always', {'exceptions': ['-', '+']}]
switch-colon-spacing: ['error', {'after': True, 'before': False}]
template-curly-spacing: ['error', 'never']
template-tag-spacing: ['error', 'never']
wrap-iife: ['error', 'inside']
wrap-regex: ['error']
yield-star-spacing: ['error', {'before': True, 'after': True}]",true,,"array-bracket-newline
array-bracket-spacing
array-element-newline
arrow-parens
arrow-spacing
block-spacing
brace-style
comma-dangle
comma-spacing
comma-style
computed-property-spacing
dot-location
eol-last
func-call-spacing
function-call-argument-newline
function-paren-newline
generator-star-spacing
implicit-arrow-linebreak
indent
jsx-quotes
key-spacing
keyword-spacing
linebreak-style
lines-around-comment
lines-between-class-members
max-len
max-statements-per-line
multiline-ternary
new-parens
newline-per-chained-call
no-mixed-spaces-and-tabs
no-multiple-empty-lines
no-trailing-spaces
no-whitespace-before-property
nonblock-statement-body-position
object-curly-newline
object-curly-spacing
object-property-newline
one-var-declaration-per-line
operator-linebreak
padded-blocks
padding-line-between-statements
quote-props
quotes
semi-spacing
semi-style
semi
space-before-blocks
space-before-function-paren
space-in-parens
space-infix-ops
space-unary-ops
spaced-comment
switch-colon-spacing
template-curly-spacing
template-tag-spacing
wrap-iife
wrap-regex
yield-star-spacing",,,"array-bracket-newline
array-bracket-spacing
array-element-newline
arrow-parens
arrow-spacing
block-spacing
brace-style
comma-dangle
comma-spacing
comma-style
computed-property-spacing
dot-location
eol-last
func-call-spacing
function-call-argument-newline
function-paren-newline
generator-star-spacing
implicit-arrow-linebreak
indent
jsx-quotes
key-spacing
keyword-spacing
linebreak-style
lines-around-comment
lines-between-class-members
max-len
max-statements-per-line
multiline-ternary
new-parens
newline-per-chained-call
no-mixed-spaces-and-tabs
no-multiple-empty-lines
no-trailing-spaces
no-whitespace-before-property
nonblock-statement-body-position
object-curly-newline
object-curly-spacing
object-property-newline
one-var-declaration-per-line
operator-linebreak
padded-blocks
padding-line-between-statements
quote-props
quotes
semi-spacing
semi-style
semi
space-before-blocks
space-before-function-paren
space-in-parens
space-infix-ops
space-unary-ops
spaced-comment
switch-colon-spacing
template-curly-spacing
template-tag-spacing
wrap-iife
wrap-regex
yield-star-spacing",,,"array-bracket-newline
array-bracket-spacing
array-element-newline
arrow-parens
arrow-spacing
block-spacing
brace-style
comma-dangle
comma-spacing
comma-style
computed-property-spacing
dot-location
eol-last
func-call-spacing
function-call-argument-newline
function-paren-newline
generator-star-spacing
implicit-arrow-linebreak
indent
jsx-quotes
key-spacing
keyword-spacing
linebreak-style
lines-around-comment
lines-between-class-members
max-len
max-statements-per-line
multiline-ternary
new-parens
newline-per-chained-call
no-mixed-spaces-and-tabs
no-multiple-empty-lines
no-trailing-spaces
no-whitespace-before-property
nonblock-statement-body-position
object-curly-newline
object-curly-spacing
object-property-newline
one-var-declaration-per-line
operator-linebreak
padded-blocks
padding-line-between-statements
quote-props
quotes
semi-spacing
semi-style
semi
space-before-blocks
space-before-function-paren
space-in-parens
space-infix-ops
space-unary-ops
spaced-comment
switch-colon-spacing
template-curly-spacing
template-tag-spacing
wrap-iife
wrap-regex
yield-star-spacing",
8.6 Generated code: mostly exempt,"Source code generated by the build process is not required to be in Google Style. However, any generated identifiers that will be referenced from hand-written source code must follow the naming requirements. As a special exception, such identifiers are allowed to contain underscores, which may help to avoid conflicts with hand-written identifiers.",,,Yes,"camelcase: ['error', {'allow': ['^_']}]
id-match: ['error', '^[a-zA-Z_$][a-zA-Z0-9_$]*$|^_']",true,,"camelcase
id-match",,,"camelcase
id-match",,,"camelcase
id-match",
